registration_number,material_name,material_category,manufacturer_name,product_category,geographical_scope,country_of_origin,gwp_a1a3,gwp_unit,declared_unit,life_cycle_stages,epd_programme_operator,year_published,valid_until,epd_url,gwp_value,extraction_confidence,notes
EPD-IES-0031470:004,"TMT Bars, Bhilai Steel Plant- Steel Authority of India Limited (SAIL)",Steel & Metal,Steel Authority of India Limited (SAIL),Construction products,Global,India,2363,kg CO2 eq/1000 kg,1000 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd31470,2363,HIGH,GWP value extracted from GWP-total row for A1-A3 column (2.363E+03). Declared unit is 1 metric tonne (1000 kg).
EPD-IES-0030960:004,Building,Other,ITC Limited,Construction products,India,India,408.0,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd30960,408.0,HIGH,GWP-total value for A1-A3 is 4.08E+02 kg CO2 eq/m2. Declared unit is 1 m2 of gross floor area.
EPD-IES-0031770:002,TAP® Acoustics Panel,Plastic & Polymer,Times Fibrefill Pvt. Ltd.,Construction products,India,India,5.54,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd31770,5.54,HIGH,The GWP value is for the 9 mm representative panel.
EPD-IES-0032037:001,SGG Mirror on Planilux 4 mm,Glass,Saint-Gobain India Pvt. Ltd,Construction products,India,India,13.7,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd32037,13.7,HIGH,GWP value for A1-A3 is 1.37E+01 kg CO2 eq/m2.
EPD-IES-0032055:001,SGG Mirror on Planilux® 5 mm,Glass,Saint-Gobain India Pvt. Ltd,Construction products,India,India,17.0,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd32055,17.0,HIGH,GWP value represents Climate Change - total for A1-A3. Declared unit is 1 m2 of 5 mm glass.
EPD-IES-0032059:001,SGG Mirror on Planilux® 6 mm,Glass,Saint-Gobain India Pvt. Ltd,Construction products,India,India,19.6,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd32059,19.6,HIGH,GWP value represents Climate Change - total for A1-A3. Declared unit is 1 m2 of 6 mm glass.
EPD-IES-0022355:003,Windor Mono Modular Single Glass Partition System,Other,Windor India Pvt Ltd,Construction products,Global,India,51.5,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd22355,51.5,HIGH,GWP-total value for A1-A3 is 5.15E+01 kg CO2 eq/m2.
EPD-IES-0022356:002,Windor Duplus Modular Double Glass Partition System,Glass,Windor India Pvt Ltd,Construction products,Global,India,84.6,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd22356,84.6,HIGH,GWP-total value for A1-A3 is 8.46E+01 (84.6) kg CO2 eq/m2.
EPD-IES-0032024:001,Windor Modular Single Leaf Single Glazed Style Door System,Other,Windor India Pvt Ltd,Construction products,Global,India,91.9,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd32024,91.9,HIGH,GWP value represents GWP-fossil for A1-A3. The total GWP (GWP-total) for A1-A3 is 91.4 kg CO2 eq/m2.
EPD-IES-0032026:001,Windor Modular Single Leaf Double Glazed Style Door System,Aluminium,Windor India Pvt Ltd,Construction products,Global,India,110.0,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd32026,110.0,HIGH,GWP-total value for A1-A3 is 1.10E+02 kg CO2 eq/m2.
EPD-IES-0032027:001,Windor 48.5mm Thick Laminate Finished Flush Door with Hardware Product,Timber & Wood,Windor India Pvt Ltd,Construction products,Global,India,79.2,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd32027,79.2,HIGH,GWP-total value for A1-A3 is 7.92E+01 kg CO2 eq/m2.
EPD-IES-0031930:002,Raised Access Floor Panels,Other,PWS Floors LLP,Construction products,Global,India,40.3,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd31930,40.3,HIGH,GWP-total value for A1-A3 is 4.03E+01 kg CO2 eq/m2.
EPD-IES-0029294:001,Portland Slag Cement/ Concreel HD,Concrete & Cement,JSW Cement Limited,Construction products,India,India,358.8,kg CO2 eq/tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd29294,358.8,HIGH,The declared unit is 1 tonne (1000 kg). The GWP value is 358.8 kg CO2 eq. per tonne.
EPD-IES-0031818:001,GYPROC® Gypboard® Effectiv' 12.5 mm,Other,Saint-Gobain India Pvt. Ltd. – Gyproc Business,Construction products,India,India,0.703,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd31818,0.703,HIGH,"GWP value extracted from the A1-A3 GWP-GHG row in the additional voluntary indicators table, as it represents the standard A1-A3 impact for the declared unit."
EPD-IES-0031183:001,Steel Rope Products,Steel & Metal,Usha Martin Limited,Construction products,Global,India,4150.0,kg CO2 eq./tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd31183,4150.0,HIGH,The GWP value 4.15E+03 kg CO2 eq. per 1 tonne was converted to 4150.0.
EPD-IES-0031184:001,LRPC Strand Products,Steel & Metal,Usha Martin Limited,Construction products,Global,India,3170.0,kg CO2 eq/tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd31184,3170.0,HIGH,GWP value 3.17E+03 converted to 3170.0 per 1 tonne declared unit.
EPD-IES-0031182:001,Steel Wire Products,Steel & Metal,Usha Martin Limited,Construction products,Global,India,3460.0,kg CO2 eq./tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd31182,3460.0,HIGH,GWP value 3.46E+03 converted from kg CO2 eq./tonne to 3460.0.
EPD-IES-0025022:003,JK Tyre- 295/80R22.5_JUL1_16PR_TL_E,Other,JK Tyre Limited,"Metal, mineral, plastic & glass products",Global,India,1.492,kg CO2 eq/unit,"1 Tyre driven 1,000km",A1-A3,International EPD System,,,https://www.environdec.com/library/epd25022,1.492,HIGH,"GWP value for A1-A3 calculated as 0.904 + 0.0973 + 0.491 = 1.4923. Declared unit is 1 tyre driven 1,000km."
EPD-IES-0025021:003,JK Tyre- 215/55R18 UX Royale,Other,JK Tyre Limited,"Metal, mineral, plastic & glass products",Global,India,9.63,kg CO2 eq.,"1 Tyre driven 1,000km, 0.016 per tyre","A1-A3, B1, C2, C3b",International EPD System,,,https://www.environdec.com/library/epd25021,9.63,HIGH,
