material_name,material_category,manufacturer_name,gwp_value,gwp_unit,declared_unit,life_cycle_stages,epd_programme_operator,year_published,valid_until,country_of_origin,source_filename,extraction_confidence,notes
Gypboard® Plain,Other,Saint-Gobain India Pvt Ltd - Gyproc Business,3.9,kg CO2 eq/m2,1 m2,A1-A3,The International EPD® System,2020,2025,India,EPD-IES-0000538_002.pdf,HIGH,"GWP value is for the A1-A3 stages. The declared unit is 1 m² of Gypboard Plain plasterboard of 12,5mm thickness."
Berger Bison Acrylic Emulsion,Paint & Coating,Berger Paints India Limited,0.706,kg CO2-Equiv.,1 litre paint,A1-A3,EPD International AB,2020,2025,India,EPD-IES-0001419_001.pdf,HIGH,
Berger Butterfly GP Synthetic Enamel,Paint & Coating,Berger Paints India Limited,1.72,kg CO2-Equiv.,1 litre,A1-A3,EPD International AB,2020,2025,India,EPD-IES-0002108_001.pdf,HIGH,
Entropy Workstation,Other,Talin Modular Office Furniture Systems Pvt. Ltd,228.0,kg CO2 eq.,1 piece,A1-A3,EPD International AB,2021,2026,India,EPD-IES-0002109_001.pdf,HIGH,"GWP value is for Entropy Workstation Model 1, representing the sum of 'Upstream' (A1-A2) and 'Core' (A3) life cycle stages."
RADIANT BAFFLE,Aluminium,Infosys Limited,14.9,kg CO2e,1 kg,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0004492_002.pdf,HIGH,Results of this EPD shall be used with care as the LCI data is not yet based on 1 year of production which may result in increased uncertainty.
Average of Finished Long Products (Steel),Steel & Metal,JSW Steel Limited,2420.0,kg CO2 eq/1000 kg,1000 kg,A1-A3,The International EPD® System,2021,2026,India,EPD-IES-0004326_001.pdf,HIGH,GWP value represents the TMT Bar product from the Vijayanagar plant as the primary example provided in the results table. Other products have varying GWP values.
Room Door Systems,Aluminium,KUBIK INDIA PVT LTD,519.0,kg CO2 eq/piece,1 piece,A1-A3,The International EPD® System,2021,2026,India,EPD-IES-0004379_001.pdf,HIGH,"GWP value represents Model 1 (Acosoft 40). Other models have varying GWP values (Model 2: 386, Model 3: 476, Model 4: 461, Model 5: 608, Model 6: 627, Model 7: 574)."
Office Partition Systems,Aluminium,Kubik India Pvt Limited,324.0,kg CO2 eq/piece,1 piece of Partition system measuring 3.0 m x 2.7 m,A1-A3,The International EPD System,2021,2026,India,EPD-IES-0004636_001.pdf,HIGH,GWP value extracted from Table 10 for Model 1 (Acosoft 40). The declared unit is 1 piece of partition system.
Hot Dip Galvanized Pole and High Mast,Steel & Metal,Skipper Limited,3190,kg CO2 eq.,1 tonne,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0004977_002.pdf,HIGH,The GWP value is the 'GWP- total' for the A1-A3 stage.
Hot Dip Galvanized Steel Tower,Steel & Metal,Skipper Limited,3370.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0004995_002.pdf,HIGH,
Silent Box,Other,Kubik India Pvt Limited,1690.0,kg CO2 eq.,1 piece of Double Glazed Silent Box Product with L x W x H : 1.2 m x 1.2 m x 2.1 m,A1-A3,EPD International AB,2022,2027,India,EPD-IES-0005016_001.pdf,HIGH,
Steel Rebar,Steel & Metal,Tata Steel Limited,2727.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2022,2027,India,EPD-IES-0005018_001.pdf,HIGH,"GWP value calculated as sum of A1 (2520) + A2 (2.16) + A3 (205) = 2727.16, rounded to 2727.0. Declared unit is 1 tonne."
"Ordinary Portland Cement (OPC), Pozzolana Portland Cement (PPC), Portland Slag Cement (PSC) and Portland Composite Cement (PCC)",Concrete & Cement,UltraTech Cement Ltd.,996,kg CO2 eq./1000 kg,1000 kg,A1-A3,EPD International AB,2022,2027,India,EPD-IES-0005019_001.pdf,HIGH,"The GWP values are presented for four different types of cement: OPC, PPC, PSC, and PCC. The values provided are for the A1-A3 life cycle stages and are based on a declared unit of 1000 kg. The GWP - total for OPC is 9.96E+02, for PPC is 7.10E+02, for PSC is 4.87E+02, and for PCC is 5.41E+02. The unit for GWP is kg CO2 eq. per 1000 kg."
Steel Structural Hollow Sections,Steel & Metal,Tata Steel Limited,3058.3,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2022,2027,India,EPD-IES-0005020_001.pdf,HIGH,"GWP value calculated as sum of A1 (3000), A2 (32.6), and A3 (25.7) for 1 tonne."
Hot Rolled Coils,Steel & Metal,JSW Steel Limited,2690.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0005172_001.pdf,HIGH,GWP value 2.69E+03 converted from 1 tonne declared unit.
Grinding Media (Steel Balls),Steel & Metal,JSW Steel Limited,3650.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0005241_002.pdf,HIGH,The GWP value 3.65E+03 kg CO2 eq per tonne was converted to 3650.0 kg CO2 eq per tonne for consistency.
Smart PIR Panel,Insulation,Asawa Insulation Pvt. Ltd.,8.95,kg CO2 eq.,1 m2 Smart PIR Panel with 20 mm Thickness,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0005242_002.pdf,HIGH,The GWP value is for GWP-total. The declared unit includes thickness.
SGG PLANILUX® 5 mm,Glass,Saint-Gobain India Pvt. Ltd,16.1,kg CO2 eq/m2,1 m2,A1-A3,The International EPD® System,2024,2029,India,EPD-IES-0005280_002.pdf,HIGH,GWP value represents Climate Change (total) for A1-A3. The functional unit is 1 m2 of 5 mm glass.
Gyproc® XPERT+,Other,Saint-Gobain India Pvt. Ltd,0.0725,kg CO2 eq/kg,1 kg,A1-A3,The International EPD® System,2024,2029,India,EPD-IES-0005400_003.pdf,HIGH,GWP value for A1-A3 is 7.25E-02 kg CO2 eq. per 1 kg declared unit.
SGG PLANILUX® 8 mm,Glass,SAINT-GOBAIN INDIA PRIVATE LIMITED,25.9,kg CO2 eq/m2,1 m2,A1-A3,The International EPD® System,2024,2029,India,EPD-IES-0005466_002.pdf,HIGH,GWP value represents Climate Change (total) for A1-A3. The value 2.59E+01 was converted to 25.9.
Ferro Chrome,Steel & Metal,Tata Steel Limited,5310.0,kg CO2 eq.,1 tonne,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0006068_001.pdf,HIGH,GWP-total value used. The declared unit is '1 tonne' but the GWP value is per tonne.
Vnext- Fiber Cement Boards,Concrete & Cement,Visaka Industries Limited,4.13,kg CO2 eq/m2,1 m2,A1-A3,EPD International,2022,2027,India,EPD-IES-0006083_001.pdf,HIGH,GWP value is based on 4mm thickness board manufactured at the Miryalaguda (MLG) plant. Values vary by thickness and manufacturing location.
Vnext Panels,Concrete & Cement,Visaka Industries Limited,14.82,kg CO2 eq/m2,1 m2,A1-A3,EPD International,2022,2027,India,EPD-IES-0006084_001.pdf,HIGH,Value represents 50mm thickness panel manufactured at MLG plant. Multiple GWP values exist for different thicknesses (50mm/75mm) and plants (MLG/JJR).
Gyproc® Fireline 12.5mm,Other,Saint-Gobain India Pvt. Ltd,4.96,kg CO2 eq/m2,1 m2,A1-A3,The International EPD System,2022,2027,India,EPD-IES-0006085_001.pdf,HIGH,GWP value for A1-A3 is 4.96E+00 kg CO2 eq. per functional unit of 1 m2.
Gyproc® Glasroc H 12.5mm,Brick & Masonry,Saint-Gobain India Pvt. Ltd,5.73,kg CO2 eq./FU,1 m2,A1-A3,The International EPD® System,2022,2027,India,EPD-IES-0006086_001.pdf,HIGH,"The GWP value is taken from the 'Climate Change [kg CO2 eq.]' row under the 'A1/A2/A3' column in the 'Environmental Impacts' table. The declared unit is '1m2 of installed plasterboard 12,5 mm with a weight of 10.6 kg/m² and an expected average service life of 50 years'."
Gyproc® Habito 12.5mm,Other,Saint-Gobain India Pvt. Ltd,8.02,kg CO2 eq/m2,1 m2,A1-A3,The International EPD System,2022,2027,India,EPD-IES-0006087_001.pdf,HIGH,GWP value represents A1-A3 stage for 1 m2 of installed plasterboard.
SGG PLANILUX® 10 mm,Glass,Saint-Gobain India Pvt. Ltd,32.4,kg CO2 eq/m2,1 m2,A1-A3,The International EPD® System,2024,2029,India,EPD-IES-0006219_002.pdf,HIGH,GWP value represents Climate Change (total) for modules A1-A3 as 3.24E+01 kg CO2 eq per 1 m2.
ORAÉ® 6 mm,Glass,Saint-Gobain India Pvt. Ltd,7.96,kg CO2 eq/m2,1 m2,A1-A3,The International EPD® System,2024,2029,India,EPD-IES-0006299_002.pdf,HIGH,GWP value represents Climate Change total for A1-A3. Declared unit is 1 m2 of 6 mm glass.
Gyproc® Duraline 13mm,Other,Saint-Gobain India Pvt. Ltd,6.03,kg CO2 eq.,1 m2,A1-A3,The International EPD System,2022,2027,India,EPD-IES-0006462_001.pdf,HIGH,"The declared unit is 1m2 of installed plasterboard with a weight of 12 kg/m2 and an expected average service life of 50 years. The GWP value is taken from the 'Climate Change' row under the 'Product stage, A1-A3' column."
Ready-Mix Concrete (M-30),Concrete & Cement,JSW Green Cement Private Limited,245.0,kg CO2 eq/m3,1 m3,A1-A3,The International EPD System,2022,2027,India,EPD-IES-0006471_001.pdf,HIGH,"GWP value represents M-30 grade concrete, which is the highest volume contributor (55.16%) in the EPD. Values for other grades are available in the document."
Zinc Product,Steel & Metal,Hindustan Zinc Limited,5460.0,kg CO2 eq/tonne,1 tonne,A1-A3,The International EPD System,2022,2028,India,EPD-IES-0006472_001.pdf,HIGH,"GWP value calculated as sum of A1 (6.88E+02), A2 (1.33E+02), and A3 (4.64E+03) as per Table 11 and confirmed by interpretation in Table 15."
HPL-Compact Panels,Other,Stylam Industries Limited,7.82,kg CO2 eq.,1 m2,A1-A3,The International EPD® System,2023,2028,India,EPD-IES-0006473_002.pdf,HIGH,The GWP value is for 1 m2 of 6mm HPL-Compact Panel. The GWP-total for other thicknesses are provided as conversion factors in Table 4-13.
Grey & Ductile Iron Manhole Cover,Steel & Metal,RBA Ferro Industries Private Limited,384.0,kg CO2 eq/piece,1 piece (142 kg),A1-A3,EPD International AB,2023,2028,India,EPD-IES-0006475_002.pdf,HIGH,GWP value represents GWP-total for A1-A3. Declared unit is 1 piece weighing 142 kg.
Clay Products,Brick & Masonry,Prayag Clay Products Limited,47.9,kg CO2 eq/tonne,1 tonne,A1-A3,The International EPD System,2023,2028,India,EPD-IES-0006476_001.pdf,HIGH,The GWP value for A1-A3 is 4.79E+01 (47.9) per 1 tonne of product as reported in Table 4-7.
Galvanized Steel,Steel & Metal,JSW Steel Coated Products Limited (JSWSCPL),3150,kg CO2 eq.,1 tonne,A1-A3,EPD International AB,2023,2028,India,EPD-IES-0006477_001.pdf,HIGH,"GWP value is for Climate Change - total, A1-A3 module. Value is 3.15E+03."
Galvalume Steel,Steel & Metal,JSW Steel Coated Products Limited (JSWSCPL),3590.0,kg CO2 eq/tonne,1 tonne,A1-A3,The International EPD System,2023,2028,India,EPD-IES-0006478_001.pdf,HIGH,GWP value 3.59E+03 converted from kg CO2 eq/tonne to 3590.0.
Pre-painted Galvanized Steel Product,Steel & Metal,JSW Steel Coated Products Limited (JSWSCPL),3420.0,kg CO2 eq/tonne,1 tonne,A1-A3,The International EPD System,2023,2028,India,EPD-IES-0006481_001.pdf,HIGH,
Pre-painted Galvalume,Steel & Metal,JSW Steel Coated Products Limited (JSWSCPL),3790.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2023,2028,India,EPD-IES-0006482_001.pdf,HIGH,GWP value 3.79E+03 converted to 3790.0. Declared unit is 1 tonne.
Galvanized Steel,Steel & Metal,JSW Steel Coated Products Limited (JSWSCPL),3240.0,kg CO2 eq./tonne,1 tonne,A1-A3,EPD International AB,2023,2028,India,EPD-IES-0006483_001.pdf,HIGH,The GWP value is for the A1-A3 life cycle stage and is reported in kg CO2 eq. per tonne of Galvanized Steel.
Pre-Painted Galvanized Steel,Steel & Metal,JSW Steel Coated Products Limited (JSWSCPL),3560.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2023,2028,India,EPD-IES-0006485_001.pdf,HIGH,
Pre-painted Galvalume,Steel & Metal,JSW Steel Coated Products Limited (JSWSCPL),3950.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2023,2028,India,EPD-IES-0006486_001.pdf,HIGH,GWP value 3.95E+03 converted to 3950.0 per tonne.
Galvanized Steel,Steel & Metal,JSW Steel Coated Products Limited (JSWSCPL),5010.0,kg CO2 eq.,1 tonne,A1-A3,EPD International AB,2023,2028,India,EPD-IES-0006487_001.pdf,HIGH,"The GWP value is for the A1-A3 stage. The declared unit is 1 tonne, but the table shows results per tonne. The GWP value is presented as 5.01E+03 in the table."
Galvalume Steel,Steel & Metal,JSW Steel Coated Products Limited (JSWSCPL),3970.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2023,2028,India,EPD-IES-0006488_001.pdf,HIGH,GWP value converted from 3.97E+03 kg CO2 eq per tonne.
Pre-painted Galvanized Steel Product,Steel & Metal,JSW Steel Coated Products Limited (JSWSCPL),5380.0,kg CO2 eq.,1 tonne,A1-A3,,,,,EPD-IES-0006489_001.pdf,,
Pre-painted Galvalume,Steel & Metal,JSW Steel Coated Products Limited (JSWSCPL),4320.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2023,2028,India,EPD-IES-0006490_001.pdf,HIGH,GWP value extracted from Table 11 for A1-A3 module. 4.32E+03 equals 4320.0.
Magnetron Coated Glass on SGG PLANILUX® 5 mm,Glass,Saint-Gobain India Private Limited,17.2,kg CO2 eq.,1 m2,A1-A3,The International EPD® System,2024,2029,India,EPD-IES-0006878_002.pdf,HIGH,"The GWP value is for the ""Climate Change (fossil)"" indicator within the A1-A3 stage, which is explicitly mentioned as ""GHG [kg CO2 eq.]"" in the ""Carbon Footprint"" section."
Magnetron Coated Glass on SGG PARSOL,Glass,Saint-Gobain India Pvt. Ltd,19.1,kg CO2 eq/m2,1 m2,A1-A3,The International EPD System,2024,2029,India,EPD-IES-0006880_002.pdf,HIGH,GWP value represents Climate Change (total) for A1-A3 modules.
Ground Granulated Blast Furnace Slag (GGBS),Concrete & Cement,JSW Cement Limited,68.96,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0007405_001.pdf,HIGH,The declared unit is 1 tonne (1000 kg) of GGBS.
Ground Granulated Blast Furnace Slag (GGBS) and Microfine GGBS,Concrete & Cement,JSW Cement Limited,107.7,kg CO2 eq.,1 tonne,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0007759_001.pdf,HIGH,"The GWP-GHG value of 107.7 kg CO2 eq. is for the A1-A3 life cycle stage. The declared unit is 1 tonne of GGBS and its variant Microfine GGBS. The GWP-GHG value includes a specific note about A1 module impact due to secondary material, GBFS, accounting for 52.53% of the total GWP-GHG(A1-A3) impact."
Austenitic Hot Rolled Annealed Pickled Plates and Coils,Steel & Metal,Jindal Stainless Limited,4840.0,kg CO2 eq.,1 tonne,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0007840_002.pdf,HIGH,
JSP’s TMT Rebar (100% Recycled Scrap),Steel & Metal,Jindal Steel & Power,445.0,kg CO2 eq/metric ton,1 metric ton,A1-A3,EPD International - AB,2024,2029,India,EPD-IES-0008168_005.pdf,HIGH,GWP value extracted from GWP-total row for A1-A3 (4.45E+02 = 445.0). Declared unit is 1 metric ton.
Ductile Iron Pipe (DN 100),Steel & Metal,Jindal SAW Limited,17.3,kg CO2 eq,1m,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0008990_001.pdf,HIGH,GWP value is for GWP-GHG indicator. The table 'Potential environmental impact – mandatory indicators according to EN 15804:2012+A2:2019/AC:2021' shows GWP-total as 1.76E+01 kg CO2 eq for A1-A3. The table 'Potential environmental impact-additional mandatory' shows GWP - GHG as 1.73E+01 kg CO2 eq for A1-A3. Using the latter as it is more specific.
Tinplate Product,Steel & Metal,JSW Steel Coated Products Limited (JSWSCPL),3960.0,kg CO2 eq/tonne,1 tonne of Tinplate,A1-A3,EPD International AB,2023,2028,India,EPD-IES-0009207_001.pdf,HIGH,
Average Fencing Products,Steel & Metal,Suyash Global Pvt Ltd,3.20,kg CO2 eq/kg,1 kg,A1-A3,The International EPD System,2023,2028,India,EPD-IES-0009208_001.pdf,HIGH,GWP value extracted from Table 4.2 for A1-A3.
SGG PLANILUX®,Glass,SAINT-GOBAIN INDIA PRIVATE LIMITED,18.7,kg CO2eq.,1 m²,A1-A3,The International EPD® System,2023,2028,India,EPD-IES-0009213_002.pdf,HIGH,"The GWP value is taken from the 'Environmental impacts' table, under 'Global Warming Potential (GWP)' for the 'PRODUCT STAGE' (A1-A3) column. The value is presented as 1.87E+01 which is interpreted as 18.7."
High Pressure Laminates,Plastic & Polymer,Stylam Industries Limited,1.46,kg CO2 eq.,1 m2,A1-A3,The International EPD® System,2023,2028,India,EPD-IES-0009219_001.pdf,HIGH,GWP value is for 1 m2 of 0.7 mm HPL.
SGG PARSOL®,Glass,SAINT-GOBAIN INDIA PRIVATE LIMITED,13.6,kg CO2 eq/m2,1 m2,A1-A3,The International EPD® System,2023,2028,India,EPD-IES-0009222_001.pdf,HIGH,GWP value for A1-A3 is 1.36E+01 kg CO2 eq/m2 as per the Environmental Impacts table.
SGG PARSOL®,Glass,SAINT-GOBAIN INDIA PRIVATE LIMITED,20.5,kg CO2 eq.,1 m2,A1-A3,The International EPD® System,2023,2028,India,EPD-IES-0009223_004.pdf,HIGH,The GWP value of 20.50 kg CO2 eq. is explicitly stated in the 'LCA interpretation' section under 'Global warming' for the 'Product (A1-A3)' stage. The declared unit is 1 m2 of body tinted glass PARSOL® for 6 mm with a light transmittance in the range of 14-74% for an expected average service life of 30 years.
Steel Rebar,Steel & Metal,Raajratna Metal Industries Limited,2762.88,kg CO2 eq/ton,1 ton of Steel Rebar,A1-A3,The International EPD® System,2023,2028,India,EPD-IES-0009225_001.pdf,HIGH,
High Pressure Laminates,Plastic & Polymer,CROWN DECOR PRIVATE LIMITED,21.0,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2023,2028,India,EPD-IES-0009226_001.pdf,HIGH,"GWP value is for 6 mm thickness. The EPD covers A1-A3, A5, C1-C4, and D."
Structural Steel Product,Steel & Metal,Jindal Steel and Power,3670,kg CO2 eq.,1 tonne,A1-A3,EPD International AB,2023,2024,India,EPD-IES-0009803_001.pdf,HIGH,"GWP value is for Climate Change - total, A1-A3 column. Value is 3.67E+03 which is 3670."
"Reinforcement Steel Bars, Round Bar, Wire Rod & RSC Steel Product",Steel & Metal,Jindal Steel and Power,3450.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2022,2024,India,EPD-IES-0009805_001.pdf,HIGH,GWP value 3450.0 derived from 3.45E+03 kg CO2 eq. Declared unit is 1 tonne.
Average Plate & Coil Steel Product,Steel & Metal,Jindal Steel and Power,3650.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2022,2024,India,EPD-IES-0009806_001.pdf,HIGH,GWP value 3.65E+03 converted to 3650.0 kg CO2 eq per 1 tonne.
Magnetron coated glass on SGG PLANILUX,Glass,Saint-Gobain India Private Limited,21.1,kg CO2 eq/m3,1 m2,A1-A3,The International EPD® System,2023,2028,India,EPD-IES-0009807_001.pdf,HIGH,"The GWP value of 21.10 kg CO2 eq/m3 is explicitly stated in the 'LCA interpretation' section, within the 'Global Warming Potential (Climate Change) (GWP)' subsection, presented in a graphical representation and also in text. The value corresponds to the A1-A3 (Product stage) for the functional unit of 1 m2."
Magnetron coated glass on SGG PLANILUX,Glass,Saint-Gobain India Pvt. Ltd,27.6,kg CO2 eq/m2,1 m2,A1-A3,The International EPD System,2023,2028,India,EPD-IES-0009808_001.pdf,HIGH,"GWP value represents the sum of Climate Change (fossil, biogenic, and land use change) for A1-A3 as per the provided LCA results table."
Magnetron coated glass on SGG PLANILUX,Glass,Saint-Gobain India Private Limited,40.3,kg CO2 eq/m2,1 m2,A1-A3,The International EPD System,2023,2028,India,EPD-IES-0009809_001.pdf,HIGH,GWP value represents Climate Change (total) for A1-A3 modules.
Magnetron coated glass on SGG PARSOL,Glass,Saint-Gobain India Pvt. Ltd,15.8,kg CO2 eq/m2,1 m2,A1-A3,The International EPD System,2023,2028,India,EPD-IES-0009810_001.pdf,HIGH,GWP value for A1-A3 is 1.58E+01 kg CO2 eq/m2 as per the Environmental Impacts table.
Magnetron coated glass on SGG PARSOL,Glass,SAINT-GOBAIN INDIA PRIVATE LIMITED – GLASS BUSINESS,22.7,kg CO2 eq.,1 m2,A1-A3,The International EPD® System,2023,2028,India,EPD-IES-0009811_001.pdf,HIGH,The GWP value is taken from the 'Climate Change [kg CO2 eq.]' row under the 'A1-A3' column in the 'LCA results' section. The value is presented as 2.27E+01 which is equivalent to 22.7.
Stainless Steel Cast & Rolled Products,Steel & Metal,Laxcon Steel Limited,2010.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2023,2028,India,EPD-IES-0009813_001.pdf,HIGH,GWP value calculated from 2.01E+03 kg CO2-eq per 1 tonne.
Deskpro,Other,AFC System Pvt Ltd,173.15,kg CO2 eq/unit,1 unit,A1-A3,The International EPD System,2023,2028,India,EPD-IES-0009814_001.pdf,HIGH,GWP value taken from 'Global Warming Potential - Total' row for A1-A3. The declared unit is one unit of Deskpro.
JSP’s Structural Steel (100% Recycled Scrap),Steel & Metal,Jindal Steel & Power,514.0,kg CO2 eq./kg,1 metric ton,A1-A3,EPD International AB,2023,2028,India,EPD-IES-0009817_001.pdf,HIGH,"The GWP value is derived from the 'GWP-total' indicator in the 'Results per one metric ton of Structural Steel' table, specifically for the A1-A3 column. The value 5.14E+02 has been converted to 514.0. The declared unit is '1 metric ton', and the GWP unit is 'kg CO2 eq./kg' as implied by the table's structure and common EPD reporting conventions for GWP-total."
"Roofing Underlayment, Building Wrap & Flashing Tape",Plastic & Polymer,Veer Plastics Pvt Ltd,3.51,kgCO2e,1 kg,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0009819_001.pdf,HIGH,This EPD represents the average result of multiple construction products.
Gyproc® Moisture Resistant Board (12.5mm),Other,Saint-Gobain India Pvt. Ltd.,2.10,kg CO2 eq/m2,1 m2,A1-A3,The International EPD® System,2024,2029,India,EPD-IES-0009820_001.pdf,HIGH,GWP value represents Climate Change - total for A1-A3. Declared unit is 1 m2 of installed plasterboard.
